,business_id,business_name,business_stars,business_is_closed,reviews
0,qq-0DAkiLPJivqCJff6nFw,Musée du Louvre,4.5,False,"[{'id': 'BWmZaXxNDnOthCtVy-oYWA', 'user': {'id': '5bwCk-krj5L2bLc3ZxGSQA'}, 'text': ""Breathtaking.\nIf you really wanna be blown away, amazed and speechless \nThen OMG PREPARE YOURSELF .. you can spend the whole day or a few hours it's totally..."", 'rating': 5}, {'id': 'g_YeiMdLM71y-KM12cQmXw', 'user': {'id': '7rI5uk1QY62ufvq1O8XfwQ'}, 'text': 'The Louvre is one of the most well-known museums in Europe, and quite possibly the biggest.  They have the best collections of French art from many...', 'rating': 4}, {'id': 'N6qPrCVnhneqCkdxdkKwuA', 'user': {'id': 'sILEA5_pp6-wrV2NOhcx0Q'}, 'text': ""Tips:\n- enter from subway station for a shorter line (slightly)\n- pre-book your tix with the right times, or you likely won't get in\n- Mona Lisa is amazing,..."", 'rating': 4}]"
1,In3z-xigGXnYXlBS-mhOPg,La Tour Eiffel,4.5,False,"[{'id': 'p1hQsDfAezwlgvyQIwqJLw', 'user': {'id': 'GFYmLGgUcjanBBb4NvxRdA'}, 'text': 'Awesome time here! I believe this was the place I looked forward to most for my trip. I came here three times while I was in Paris. Once in the daytime,...', 'rating': 5}, {'id': 'dqhn0Ofga6ne--bHje4MhA', 'user': {'id': 'WEjtg7q7uhppdFNZRJ-FSw'}, 'text': 'Spectacular structure and very beautiful.\n\nSecurity was ridiculous in that they did the same thing several times.\n\nIt was super crowded.\n\nI would say the...', 'rating': 4}, {'id': 'bPxMfLEZWuhg74D7BB9QOg', 'user': {'id': 'kfPDm4dyLIKX-1cgZDNfqQ'}, 'text': ""It's famous. You know it, I know it, pretty much everyone knows it. \n\nHands down one of the most famous and recognizable structures in the world. \n\nAre you..."", 'rating': 5}]"
2,-0iLH7iQNYtoURciDpJf6w,Le Comptoir de la Gastronomie,4.5,False,"[{'id': 'n01L5L1kRrj_6Z2QTgkldw', 'user': {'id': 'cP-UyxlDAJuOTUdrerySGQ'}, 'text': ""A wonderful dinner and our favorite so far. Advice is definitely to get a reservation ahead, right when they become available as it's quite hard to get and..."", 'rating': 5}, {'id': 'cOYwb_jRMSrL3pUlIriphQ', 'user': {'id': 'nMGKV-zOWbRpHzqCpkuFCA'}, 'text': 'I am starting to think that racist service is simply par for the course when it comes to Parisian restaurants.\n\nWe were ""greeted"" by a tall gentleman, who I...', 'rating': 1}, {'id': '2yoZh0qjuM7r5WhaWM3ZeA', 'user': {'id': 'u92jV0zgxyYBIcJdDbL7aA'}, 'text': 'Wrote my last review for Le Comptoir de la Gastronomie exactly 3 years ago today.  It is one of my favorite haunts in Paris, try to get here as often as I...', 'rating': 5}]"
3,FFz-WusZrBYZexKqhqzCkg,L'As du Fallafel,4.5,False,"[{'id': 'G6FKm8RTZrtnOTW7dhpWaw', 'user': {'id': '0AWlzCo0SSc1Uk1K9DudhQ'}, 'text': ""L'As du Falafel is a legend, and deservedly. To reach it, you will have to weave your way through the many imitators that have sprouted up in the Marais...."", 'rating': 5}, {'id': 'Ii5LKOb54_c0IJM_ZGJgeA', 'user': {'id': 'BqXn-1nxi0zqEnPyuCAsXQ'}, 'text': 'You will always find a long line leading up to this family-owned Middle Eastern restaurant. Located in the Jewish district of Paris (known as the Marais) on...', 'rating': 4}, {'id': 'SjlQTADSXoHca9CLb32p-A', 'user': {'id': 'P_BsIX1h93u8lgiDXf-9CA'}, 'text': ""Dropped by L'As du for a quick early dinner. I fully understand why this is one of the more popular restaurants in Paris\n-quick service and friendly..."", 'rating': 5}]"
4,XlMMUoGIOhIE-aWRXgTd1A,Musée d’Orsay,4.5,False,"[{'id': 'mSoY-kXy70Jjs0hNuOfHUQ', 'user': {'id': 'UQa9RqoJZWAawzqN-2pT2Q'}, 'text': ""Museums seem to be amazing in Paris and one of the best places is Musee d'Orsay. I don't even know how to pronounce it but just get tickets to come here...."", 'rating': 5}, {'id': 'Ao_kQ6P4se7LG4JEB8rY9Q', 'user': {'id': 'sILEA5_pp6-wrV2NOhcx0Q'}, 'text': ""Fun museum. I enjoyed it more than Louvre. Why?\n- fewer people with a ton of walking space\n- great Van Gogh paintings'\n- lots of Monet paintings\n- lots of..."", 'rating': 4}, {'id': 'ixdkhicJOigikbWnPTpXJQ', 'user': {'id': 'iU9Aoz63LYmoT70MgvTq7A'}, 'text': ""Musèe d'Orsay might not be the Louvre but should get just as much of the hype! \n\nI learned that this museum used to be a railway station and it really shows..."", 'rating': 5}]"
5,ijqSzadlZ9SCXvUEpMimcA,Angelina,4.0,False,"[{'id': 'WkX_peaeOPT725kuK-UmSA', 'user': {'id': 'wzwyPHDR6bwf_iiQuDl0aw'}, 'text': 'I went to Angelina per a recommendation from my coworker. My boyfriend and I arrived at Angelina around 2:30pm on a Saturday afternoon, and we found a...', 'rating': 5}, {'id': 'UFvzPxhrc46b2KRuVCV-Pg', 'user': {'id': 'E2CuwvUZdhvrAvvNdmmN8A'}, 'text': 'Loved everything about this place... except maybe the famous hot chocolate.  It was very, very rich and not that hot.  Kind of like a melted chocolate...', 'rating': 5}, {'id': 'WgbZ6dFQ6RzS3ujyf27OHg', 'user': {'id': 'iC829NnuvTXumM4V11PvAg'}, 'text': 'Came by in the afternoon and stood in line for 30 minutes.\nWhile waiting in line I looked at the menu. \nStaff is friendly.\n\nOrdered \n2 hot chocolates...', 'rating': 4}]"
6,eZ2DpDfJQgVx7iw5Itx_Xw,Berthillon,4.5,False,"[{'id': 'pC1xS8UqA1iwtRXAawdJGg', 'user': {'id': 'UZ-6NV-vNB1GsSog2q-emQ'}, 'text': 'The most amazing ice cream. Got coffee, chocolate, raspberry, and salted caramel. So rich and creamy, not too sweet, and all the flavors complemented each...', 'rating': 5}, {'id': 'mpPJPjt1SaOtBaLFwUpITw', 'user': {'id': 'tqIJV0lrKZbN37mHUNflEw'}, 'text': 'I was expecting a traditional ice cream shop, but was pleasantly surprised that it is a nice sit-down cafe where you can not only enjoy ice creams and...', 'rating': 5}, {'id': 'qrgEFWz6zkti7sEtc1rYTw', 'user': {'id': 'FsGVJi0ebXc3z4pQN28BMg'}, 'text': 'Excellent sorbet for an extremely hot day in Paris.  We walked around the Ile Saint-Louis after a visit to Sainte-Chapelle and the damaged Norte Dame....', 'rating': 4}]"
7,2p6AznL_nybxJ3m8Lc9M_A,Ladurée,4.0,False,"[{'id': 'FXH7GZMfhIhdt8eVgyJiMQ', 'user': {'id': 'eohfoBEeRQCfrvUHqddqKg'}, 'text': ""Pretty big macaron chain, been to locations in France and the US. The flavors are always consistent and not overly sweet, Ladurée's macarons usually hit the..."", 'rating': 5}, {'id': 'ruSk0oXdqczqXPb-zb1RuA', 'user': {'id': 'wzwyPHDR6bwf_iiQuDl0aw'}, 'text': 'Review of the to-go food only.\n\nMy boyfriend took one for the team and stood in line at Ladurée while I took a yoga class at a local study by...', 'rating': 4}, {'id': 'kRV0piJm7ue4DOVluqgkgg', 'user': {'id': '-_MmIrxgdmYUW4cNbZ930w'}, 'text': ""Beautiful, historic space which deserves a visit just to experience the setting. Just remember, you're in the center of touristy Champs-Elysees, so expect..."", 'rating': 3}]"
8,cEjF41ZQB8-SST8cd3EsEw,L'Avant Comptoir,4.5,False,"[{'id': 'Z_1K62YuGg2if3RLns0DAw', 'user': {'id': 'HpeuuvDl2Sk842O0CZygoA'}, 'text': 'Food was delicious, service was good. Make a reservation! We were a party of two and realized how lucky we were to get a table around 7pm. The restaurant...', 'rating': 5}, {'id': 'Ey9suO4ufRBsCgFNsGV6tg', 'user': {'id': 'IGl2xslL30l5LorXydI-nA'}, 'text': 'Two locations - one that serves meat tapas and the other fish.\n\nI went to both because one,  I loved the vibe and two I needed to try the blood sausage...', 'rating': 4}, {'id': '8gjKndXw9DKcqKnFWX19qw', 'user': {'id': 'f6zEwmdFEaXqCyvRLYBDXg'}, 'text': ""This place is SO overrated, probably the worst tapas I've ever had. Every dish was under seasoned and tasted off. We started with a zucchini salad, zucchini..."", 'rating': 1}]"
9,dfiOVKCTnsufmStVL0b5cg,L'Arc de Triomphe,4.5,False,"[{'id': 'GJjBz5VxzadrVs0g39ZaZQ', 'user': {'id': '8oyNLE1bZedbcsHYaTJj2w'}, 'text': 'From the top of the panoramic terrace, we have a panoramic view of Paris. The revisited Antiquity. Architect Jean-François Chalgrin was inspired by the...', 'rating': 5}, {'id': 'J6cBa0v1U5WvEK8A8rTtGw', 'user': {'id': 'kAh-iK391u-jgcAWqbirfw'}, 'text': ""Big. Archy. Triumphant. Crowded. \n\nWtf else can I say. Go there to learn more. It's cool."", 'rating': 5}, {'id': 'zczaoPOgoNTITkMVtsUy-g', 'user': {'id': 'j47AtuDSGacgjuQugEcAPA'}, 'text': ""Why I have not reviewed the Arc de Triomphe is beyond me, but here we go!\n\nHonestly, this is on everyone's to do list going to Paris, but even after many..."", 'rating': 5}]"
